"title_data","paper_id","source","type","year","author1_data","keyword"
"Integration of PCA with a Novel Machine Learning Method for Reparameterization and Assisted History Matching Geologically Complex Reservoirs","          175038-MS ","          SPE ","          Conference Paper",2015,"Honorio, Jean, MIT","'machine+learning'AND'production'"
"Applying Machine Learning Techniques to Interpret Flow Rate, Pressure and Temperature Data From Permanent Downhole Gauges","          174034-MS ","          SPE ","          Conference Paper",2015,"Tian, Chuan, Stanford University","'machine+learning'AND'production'"
"The Rise of the Machines, Analytics, and the Digital Oilfield: Artificial Intelligence in the Age of Machine Learning and Cognitive Analytics","          2668073-MS ","          URTEC ","          Conference Paper",2017,"Ball, Kathryn, Devon Energy","'machine+learning'AND'production'"
"Using Machine Learning to Identify the Highest Wet Gas Producing Mix of Hydraulic Fracture Classes and Technology Improvements in the Marcellus Shale","          2430481-MS ","          URTEC ","          Conference Paper",2016,"Anderson, Roger N., AKW Analytics Inc","'machine+learning'AND'production'"
"Redistribution of Steam Injection in Heavy Oil Reservoir Management to Improve EOR Economics, Powered by a Unique Integration of Reservoir Physics and Machine Learning","          185507-MS ","          SPE ","          Conference Paper",2017,"Sarma, Pallav, Tachyus Inc.","'machine+learning'AND'production'"
"A Novel Automated and Probabilistic EOR Screening Method to Integrate Theoretical Screening Criteria and Real Field EOR Practices Using Machine Learning Algorithms","          176725-MS ","          SPE ","          Conference Paper",2015,"Tarrahi, Mohammadali, Texas A&M University, Irina Surovets, SPD","'machine+learning'AND'production'"
"A Novel Automated and Probabilistic EOR Screening Method to Integrate Theoretical Screening Criteria and Real Field EOR Practices Using Machine Learning Algorithms (Russian)","          176725-RU ","          SPE ","          Conference Paper",2015,"Tarrahi, Mohammadali, Texas A&M University, Irina Surovets, SPD","'machine+learning'AND'production'"
"Normalized Depths as Key Input and Detailed QC Steps for Improved Permeability Predictions Using Existing Machine Learning Techniques","          188493-MS ","          SPE ","          Conference Paper",2017,"Voleti, Deepak Kumar, Abu Dhabi Company for Onshore Petroleum operations Ltd.","'machine+learning'AND'production'"
"High Resolution Seismic Data Derived From Prestack Inversion and Machine Learning to Accurately Position Horizontal Wells in the Midland Basin, Texas","          2695422-MS ","          URTEC ","          Conference Paper",2017,"Meek, Robert, Pioneer Natural Resources","'machine+learning'AND'production'"
"Utilizing Intelligent Oilfield Technology and Production Chemicals to Solve Operational Challenges and Increase Production","          190027-MS ","          SPE ","          Conference Paper",2018,"Sonne, J., Eni Petroleum","'machine+learning'AND'production'"
"Big Data in Exploration and Production: Real-Time Adaptive Analytics and Data-Flow Architecture","          163721-MS ","          SPE ","          Conference Paper",2013,"Brule, Michael R, IBM","'machine+learning'AND'production'"
"Big Data in Exploration and Production: Silicon Snake-Oil, Magic Bullet, or Useful Tool?","          167837-MS ","          SPE ","          Conference Paper",2014,"Cameron, David, Steria AS","'machine+learning'AND'production'"
"A Comprehensive Evaluation of Well Completion and Production Performance in Bakken Shale Using Data-Driven Approaches","          181803-MS ","          SPE ","          Conference Paper",2016,"Wang, Shuhua, University of Calgary","'machine+learning'AND'production'"
"""Pozoteca"" Integrated Management of Technical Information on Exploration and Production Wells","          68756-MS ","          SPE ","          Conference Paper",2001,"Duran, C.F., Ecopetrol","'machine+learning'AND'production'"
"Evaluating the Relationship Between Well Parameters and Production Using Multivariate Statistical Models: A Middle Bakken and Three Forks Case History","          179171-MS ","          SPE ","          Conference Paper",2016,"Lolon, E., Liberty Oilfield Services","'machine+learning'AND'production'"
"Accelerating the Learning Curve of Next Generation Exploration and Production Workforce through Smart Data and Knowledge Environment","          181594-MS ","          SPE ","          Conference Paper",2016,"David, Richard Mohan, Abu Dhabi Company For Onshore Petroleum Operations Ltd.","'machine+learning'AND'production'"
"Next Generation of Workflows for Multilevel Assisted History Matching and Production Forecasting: Concept, Implementation and Visualization","          167340-MS ","          SPE ","          Conference Paper",2013,"Maucec, Marko, Halliburton","'machine+learning'AND'production'"
"Applying Big Data Analytics to Logistics Processes of Oil and Gas Exploration and Production Through a Hybrid Modeling and Simulation Approach","          26274-MS ","          OTC ","          Conference Paper",2015,"Sousa, C. J. N., Petrobras","'machine+learning'AND'production'"
"Inferring Interwell Connectivity Using Production Data","          181556-MS ","          SPE ","          Conference Paper",2016,"Tian, Chuan, Stanford University","'machine+learning'AND'production'"
"Shale Asset Production Evaluation by Using Pattern Recognition","          174061-MS ","          SPE ","          Conference Paper",2015,"Esmaili, S., California Resources Corporation","'machine+learning'AND'production'"
"Applying Data-Driven Method to Production Decline Analysis and Forecasting","          181616-MS ","          SPE ","          Conference Paper",2016,"Jia, Xinli, Halliburton","'machine+learning'AND'production'"
"Shale Analytics: Making Production and Operational Decisions Based on Facts: A Case Study in Marcellus Shale","          184822-MS ","          SPE ","          Conference Paper",2017,"Mohaghegh, S. D., Intelligent Solutions, Inc., West Virginia University","'machine+learning'AND'production'"
"ESP Data Analytics: Predicting Failures for Improved Production Performance","          188513-MS ","          SPE ","          Conference Paper",2017,"Abdelaziz, Mohannad, Saudi Aramco","'machine+learning'AND'production'"
"Production Allocation Without End Members: Now It Is Possible","          2017-723 ","          OMC ","          Conference Paper",2017,"Amendola, A., Eni","'machine+learning'AND'production'"
"Physics-Based and Data-Driven Surrogates for Production Forecasting","          173206-MS ","          SPE ","          Conference Paper",2015,"Klie, Hector, ConocoPhillips","'machine+learning'AND'production'"
"Data-Driven Production Forecasting of Unconventional Wells with Apache Spark","          190098-MS ","          SPE ","          Conference Paper",2018,"Mohammadmoradi, Peyman, University of Calgary","'machine+learning'AND'production'"
"Detecting and Removing Outliers in Production Data to Enhance Production Forecasting","          179958-MS ","          SPE ","          Conference Paper",2016,"Chaudhary, Nitinkumar L., University of Houston","'machine+learning'AND'production'"
"A Simple Data-Driven Approach to Production Estimation and Optimization","          181104-MS ","          SPE ","          Conference Paper",2016,"Grimstad, B., Solution Seeker AS","'machine+learning'AND'production'"
"Optimization of Production and CO2 Utilization Via Parametric Representation and Evaluation of WAG Schedules","          179582-MS ","          SPE ","          Conference Paper",2016,"Klenner, Robert, GE OGTC","'machine+learning'AND'production'"
"Using Data-Driven Analytics to Assess the Impact of Design Parameters on Production from Shale","          166240-MS ","          SPE ","          Conference Paper",2013,"Esmaili, S., West Virginia University","'machine+learning'AND'production'"
"OPTIMIZATION OF PRODUCTION FROM MATURE FIELDS","          32152 ","          WPC ","          Conference Paper",2002,"Wang, P., Stanford University, USA","'machine+learning'AND'production'"
"Data Analytics for Production Optimization in Unconventional Reservoirs","          2167005-MS ","          URTEC ","          Conference Paper",2015,"Schuetter, Jared, Battelle Memorial Institute","'machine+learning'AND'production'"
"Practical Implementation of Knowledge-Based Approaches for SAGD Production Analysis","          170144-MS ","          SPE ","          Conference Paper",2014,"Ma, Zhiwei, University of Alberta","'machine+learning'AND'production'"
"Petroleum Analytics Learning Machine to Forecast Production in the Wet Gas Marcellus Shale","          2426612-MS ","          URTEC ","          Conference Paper",2016,"Anderson, Roger N., AKW Analytics Inc","'machine+learning'AND'production'"
"Data-Driven Optimization of Injection/Production in Waterflood Operations","          187468-MS ","          SPE ","          Conference Paper",2017,"Temizel, Cenk, Area Energy","'machine+learning'AND'production'"
"Controlling Oil Production in Smart Wells by MPC Strategy With Reinforcement Learning","          139299-MS ","          SPE ","          Conference Paper",2010,"Talavera, Alvaro Gustavo,","'machine+learning'AND'production'"
"An Improved Approach for Ensemble-Based Production Optimization","          121305-MS ","          SPE ","          Conference Paper",2009,"Chaudhri, Masroor Mansoor, Chevron Corp.","'machine+learning'AND'production'"
"Optimum Control of Unwanted Water Production in Stratified Gas Reservoirs","          106640-MS ","          SPE ","          Conference Paper",2007,"Yamali, Nampetch, U. of Texas Austin","'machine+learning'AND'production'"
"Systems for Asset Managements of Production Platforms","          24424-MS ","          OTC ","          Conference Paper",2013,"Fadel, Fernando Elias de Freitas, Petrobras","'machine+learning'AND'production'"
"Creating Value by Implementing an Integrated Production Surveillance and Optimization System – An Operator's Perspective","          187222-MS ","          SPE ","          Conference Paper",2017,"Sankaran, Sathish, Anadarko Petroleum Corporation","'machine+learning'AND'production'"
"Robust Derivative Estimation for Decline Analysis from Noisy Production Data","          181079-MS ","          SPE ","          Conference Paper",2016,"Subrahmanya, Niranjan, ExxonMobil Research and Engineering Company","'machine+learning'AND'production'"
"Electrical Submersible Pump Operation Optimization with Time Series Production Data Analysis","          181030-MS ","          SPE ","          Conference Paper",2016,"Zhu, David, Baker Hughes Inc.","'machine+learning'AND'production'"
"Production Analysis of a Niobrara Field Using Intelligent Top-Down Modeling","          169573-MS ","          SPE ","          Conference Paper",2014,"Haghighat, S. Alireza, West Virginia University","'machine+learning'AND'production'"
"Comparison of Shale Oil Production Forecasting using Empirical Methods and Artificial Neural Networks","          187112-MS ","          SPE ","          Conference Paper",2017,"Suhag, Anuj, University of Southern California","'machine+learning'AND'production'"
"Development of Hybrid Intelligent System for Virtual Flow Metering in Production Wells","          167880-MS ","          SPE ","          Conference Paper",2014,"Bello, Oladele, Baker Hughes Incorporated","'machine+learning'AND'production'"
"An Efficient Methodology of Production Strategy Optimization Based on Genetic Algorithms","          122031-MS ","          SPE ","          Conference Paper",2009,"Nogueira, Pedro De Brito, Petrobras","'machine+learning'AND'production'"
"Do Data Mining Methods Matter?: A Wolfcamp Shale Case Study","          173334-MS ","          SPE ","          Conference Paper",2015,"Zhong, Ming, Baker Hughes","'machine+learning'AND'production'"
"Production Optimization Through Utilization of Smart Wells in Intelligent Fields","          185709-MS ","          SPE ","          Conference Paper",2017,"Ranjith, Rahul, University of Southern California","'machine+learning'AND'production'"
"Application of Data Analytics for Production Optimization in Unconventional Reservoirs: A Critical Review","          2670157-MS ","          URTEC ","          Conference Paper",2017,"Mishra, Srikanta, Battelle Memorial Institute","'machine+learning'AND'production'"
"Transforming the World of Asset Management in Near Real-Time Using an Intelligent Application to Optimize Daily Production Operations","          181502-MS ","          SPE ","          Conference Paper",2016,"Gupta, Supriya, Frontender Corporation","'machine+learning'AND'production'"
"Applying Analytics to Production Workflows: Transforming Integrated Operations into Intelligent Operations","          167823-MS ","          SPE ","          Conference Paper",2014,"Bravo, Cesar, Halliburton","'machine+learning'AND'production'"
"Application of Neural Network in Formation Failure Model to Predict Sand Production","          28506-MS ","          OTC ","          Conference Paper",2018,"Ketmalee, T., PTTEP","'machine+learning'AND'production'"
"A New Early Warning Model with Vector Machine for Abnormal Production Prediction","          172307-MS ","          SPE ","          Conference Paper",2014,"Li, JunJian, China University of Petroleum","'machine+learning'AND'production'"
"Development and Application of Ensemble Kalman Filter for Efficient Production Data Analysis and Accurate Property Estimation","          190140-MS ","          SPE ","          Conference Paper",2018,"Yue, W., University of North Dakota","'machine+learning'AND'production'"
"Smart Alarms Tool Development Approach For Oil Production Monitoring System","          166378-MS ","          SPE ","          Conference Paper",2013,"Pchelnikov, R.L., Technical Expertise Center","'machine+learning'AND'production'"
"The Research of Big Data Analysis Platform of Oil & Gas Production","          28346-MS ","          OTC ","          Conference Paper",2018,"Ruidong, Zhao, RIPED CNPC","'machine+learning'AND'production'"
"Practical Data Mining and Artificial Neural Network Modeling for SAGD Production Analysis","          174460-MS ","          SPE ","          Conference Paper",2015,"Ma, Zhiwei, University of Alberta","'machine+learning'AND'production'"
"Optimum Design and Control of the Production-Injection Operation Systems in Petroleum Reservoirs","          81036-MS ","          SPE ","          Conference Paper",2003,"Yang, Daoyong, University of Regina","'machine+learning'AND'production'"
"Production System Optimization of Gas Fields Using Hybrid Fuzzy-Genetic Approach","          100179-MS ","          SPE ","          Conference Paper",2006,"Park, Hui-june,","'machine+learning'AND'production'"
"Application of Statistical Methods to Predict Production From Liquid-Rich Shale Reservoirs","          2694668-MS ","          URTEC ","          Conference Paper",2017,"Zhou, Peng, Texas A&M University","'machine+learning'AND'production'"
"Production Management Decision Analysis Using AI-Based Proxy Modeling of Reservoir Simulations – A Look-Back Case Study","          170664-MS ","          SPE ","          Conference Paper",2014,"Mohaghegh, Shahab D., West Virginia University","'machine+learning'AND'production'"
"A New Early Warning Model with Vector Machine for Abnormal Production Prediction (Russian)","          172307-RU ","          SPE ","          Conference Paper",2014,"Li, JunJian, China University of Petroleum","'machine+learning'AND'production'"
"An Improved Approach For Ensemble Based Production Optimization: Application To A Field Case","          121307-MS ","          SPE ","          Conference Paper",2009,"Chaudhri, Masroor Mansoor, Chevron Corp.","'machine+learning'AND'production'"
"Use of Approximate Dynamic Programming for Production Optimization","          141677-MS ","          SPE ","          Conference Paper",2011,"Wen, Zheng,","'machine+learning'AND'production'"
"Multivariate Fracture Treatment Optimization for Enhanced Gas Production From Tight Reservoirs","          75702-MS ","          SPE ","          Conference Paper",2002,"Rahman, M.M., University of New South Wales, Australia","'machine+learning'AND'production'"
"Modeling Patterns for Performance Analyses of Offshore Production Systems","          I-17-708 ","          ISOPE ","          Conference Paper",2017,"Meng, Huixing, École Polytechnique","'machine+learning'AND'production'"
"Applying Subsurface DNA Diagnostics and Data Science in the Delaware Basin","          189846-MS ","          SPE ","          Conference Paper",2018,"Silva, J., Anadarko Petroleum Corporation","'machine+learning'AND'production'"
"Comparison of Decline Curve Analysis DCA with Recursive Neural Networks RNN for Production Forecast of Multiple Wells","          190104-MS ","          SPE ","          Conference Paper",2018,"Sun, J., CSE ICON","'machine+learning'AND'production'"
"A Self-Teaching Expert System for the Analysis, Design, and Prediction of Gas Production From Unconventional Gas Resources","          149485-MS ","          SPE ","          Conference Paper",2011,"Moridis, George J., Lawrence Berkeley National Laboratory","'machine+learning'AND'production'"
"Use of Data Analytics to Improve Well Placement Optimization Under Uncertainty","          188265-MS ","          SPE ","          Conference Paper",2017,"Busby, Daniel, Total SA","'machine+learning'AND'production'"
"The Dawn of the New Age of the Industrial Internet and How it can Radically Transform the Offshore Oil and Gas Industry","          27638-MS ","          OTC ","          Conference Paper",2017,"Sharma, Partha, DNV GL","'machine+learning'AND'production'"
"Identification of Reservoir Analogues in the Presence of Uncertainty","          167811-MS ","          SPE ","          Conference Paper",2014,"Perez-Valiente, M.L., Repsol","'machine+learning'AND'production'"
"A Novel Rheological Hierarchy Optimization Methodology with Artificial Intelligence and Inverse Technique Improves Spacer Design","          184631-MS ","          SPE ","          Conference Paper",2017,"Xie, Liangjun, Baker Hughes","'machine+learning'AND'production'"
"Application of Multivariate Statistical Modeling and Geographic Information Systems Pattern-Recognition Analysis to Production Results in the Eagle Ford Formation of South Texas","          168628-MS ","          SPE ","          Conference Paper",2014,"LaFollette, Randy F., Baker Hughes","'machine+learning'AND'production'"
"Prediction of Sand Production from Oil and Gas Reservoirs in the Niger Delta Using Support Vector Machines SVMs: A Binary Classification Approach","          189118-MS ","          SPE ","          Conference Paper",2017,"Olatunji, Oladipo O., University of Ibadan","'machine+learning'AND'production'"
"Optimization of Multivariate Production-Injection System for Water-Alternating-Gas Miscible Flooding in Pubei Oil Field","          62856-MS ","          SPE ","          Conference Paper",2000,"Yang, Daoyong, University of Petroleum","'machine+learning'AND'production'"
"Uncertainty Assessment on Short-Term Production Forecasts Using Integrated Asset Modeling and Experimental Design","          187595-MS ","          SPE ","          Conference Paper",2017,"Li, Xiaopeng, Colorado School of Mines","'machine+learning'AND'production'"
"Transforming Data into Knowledge Using Data Mining Techniques: Application in Excess Water Production Problem Diagnosis in Oil Wells","          133929-MS ","          SPE ","          Conference Paper",2010,"Rabiei, Minou, Curtin U. of Technology","'machine+learning'AND'production'"
"Development and Application of the Discrete Gradient Method for Non-smooth Non-convex Production Optimization","          108496-MS ","          SPE ","          Conference Paper",2007,"Mason, Thomas L., SIEP","'machine+learning'AND'production'"
"Well Productivity Analysis of the Bakken Shale Play","          2671321-MS ","          URTEC ","          Conference Paper",2017,"Vankov, Emilian, Rice University","'machine+learning'AND'production'"
"A Workflow for Intelligent Data-driven Analytics Software Development in Oil and Gas Industry","          170859-MS ","          SPE ","          Conference Paper",2014,"Dursun, Serkan, Halliburton","'machine+learning'AND'production'"
"Automatic Early Fault Detection for Rod Pump Systems","          146038-MS ","          SPE ","          Conference Paper",2011,"Liu, Shuping, U. of Southern California","'machine+learning'AND'production'"
"Data Driven Approach to Failure Prediction for Electrical Submersible Pump Systems","          174062-MS ","          SPE ","          Conference Paper",2015,"Guo, Dong, USC","'machine+learning'AND'production'"
"Optimal Learning of Field Operation and Well Placement in the Presence of Uncertainty","          18336-MS ","          IPTC ","          Conference Paper",2015,"Klie, Hector, ConocoPhillips Company","'machine+learning'AND'production'"
"Recurrent Neural Networks for Permanent Downhole Gauge Data Analysis","          187181-MS ","          SPE ","          Conference Paper",2017,"Tian, Chuan, Stanford University","'machine+learning'AND'production'"
"Real-Time Bit Wear Monitoring and Prediction Using Surface Mechanics Data Analytics: A Step Toward Digitization Through Agile Development","          189602-MS ","          SPE ","          Conference Paper",2018,"Liu, Yu, Shell International Exploration and Production Inc","'machine+learning'AND'production'"
"Global Model for Failure Prediction for Rod Pump Artificial Lift Systems","          165374-MS ","          SPE ","          Conference Paper",2013,"Raghavenda, Cauligi S., University of Southern California","'machine+learning'AND'production'"
"Identifying the Optimum Zone for Reducing Drill String Vibrations","          189284-STU ","          SPE ","          Conference Paper",2017,"Christian, Etaje Darlington, University of Calgary","'machine+learning'AND'production'"
"Smart Oilfield Safety Net: An Integrated System for Prediction of Asset Integrity Opportunities","          181048-MS ","          SPE ","          Conference Paper",2016,"Killen, N., Chevron USA Inc.","'machine+learning'AND'production'"
"Digital Twin Bridging Intelligence Among Man, Machine and Environment","          28480-MS ","          OTC ","          Conference Paper",2018,"Poddar, Tushar, Energise Futures Pte Ltd","'machine+learning'AND'production'"
"Implementing Artificial Neural Networks and Support Vector Machines in Stuck Pipe Prediction","          163370-MS ","          SPE ","          Conference Paper",2012,"Heinze, Lloyd, Texas Tech University","'machine+learning'AND'production'"
"Improving the Ensemble Optimization Method Through Covariance Matrix Adaptation (CMA-EnOpt)","          163657-MS ","          SPE ","          Conference Paper",2013,"Fonseca, R.M., Delft University of Technology","'machine+learning'AND'production'"
"Integrated Multi-Scale Reservoir Characterization: Wolfcamp Formation - Midland Basin","          2670796-MS ","          URTEC ","          Conference Paper",2017,"Walls, Joel, Ingrain","'machine+learning'AND'production'"
"Pattern-Based History Matching for Reservoirs with Complex Geologic Facies","          190128-MS ","          SPE ","          Conference Paper",2018,"Golmohammadi, A., University of Southern California","'machine+learning'AND'production'"
"Application of Data Mining Tools for Analysis and Prediction of Hydraulic Fracturing Efficiency for the BV8 Reservoir of the Povkh Oil Field","          171332-MS ","          SPE ","          Conference Paper",2014,"Alimkhanov, Rustam, Lukoil-Engineering Ltd.","'machine+learning'AND'production'"
"Fast Integrated Reservoir Modelling on the Gjøa Field Offshore Norway","          188557-MS ","          SPE ","          Conference Paper",2017,"Sætrom, Jon, Resoptima AS","'machine+learning'AND'production'"
"Application of Data Mining Tools for Analysis and Prediction of Hydraulic Fracturing Efficiency for the BV8 Reservoir of the Povkh Oil Field (Russian)","          171332-RU ","          SPE ","          Conference Paper",2014,"Alimkhanov, Rustam, Lukoil-Engineering Ltd.","'machine+learning'AND'production'"
"Data Ethics in Oil and Gas Operations","          190117-MS ","          SPE ","          Conference Paper",2018,"Ershaghi, Iraj, University of Southern California","'machine+learning'AND'production'"
"Enhancing Wellwork Efficiency With Data Mining and Predictive Analytics","          167869-MS ","          SPE ","          Conference Paper",2014,"Sidahmed, Mohamed, BP","'machine+learning'AND'production'"
"Essential Components of an Integrated Data Mining Tool for the Oil & Gas Industry, With an Example Application in the DJ Basin","          84441-MS ","          SPE ","          Conference Paper",2003,"Mohaghegh, Shahab D., West Virginia University","'machine+learning'AND'production'"
"Development of Automatic System for Decline Analysis","          187755-MS ","          SPE ","          Conference Paper",2017,"Kotezhekov, V., Gazpromneft NTC LLC","'machine+learning'AND'production'"
"Development of Automatic System for Decline Analysis (Russian)","          187755-RU ","          SPE ","          Conference Paper",2017,"Kotezhekov, V., Gazpromneft NTC LLC","'machine+learning'AND'production'"
"Deployment of a Generic Expert System to Rank Operations Business Opportunities Automatically Under Ever Changing Economic Conditions","          181683-MS ","          SPE ","          Conference Paper",2016,"Stundner, Michael, myr:conn solutions GmbH","'machine+learning'AND'production'"
"Multi-Scale Rock Imaging for Reservoir Characterization: A Wolfcamp Case Study","          2459751-MS ","          URTEC ","          Conference Paper",2016,"Morcote, Anyela, Ingrain Inc.","'machine+learning'AND'production'"
"Streamline Rock Facies Classification with Deep Learning Cognitive Process","          187436-MS ","          SPE ","          Conference Paper",2017,"Sidahmed, Mohamed, BP","'machine+learning'AND'production'"
"Semantic Web Technologies for External Corrosion Detection in Smart Oil Fields","          174042-MS ","          SPE ","          Conference Paper",2015,"Saeed, M., University of Southern California","'machine+learning'AND'production'"
"Using Big Data and Smart Field Technology for Detecting Leakage in a CO2 Storage Project","          166137-MS ","          SPE ","          Conference Paper",2013,"Haghighat, S. Alireza, West Virginia University","'machine+learning'AND'production'"
